time,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,MANA,XLM,XRP,SPXT,XCMP,USSOC,VIX
2021-09-11,0.106168695,0.011941865,0.006978782,0.005840634,0.017766505,0.023502654,0.025155065,0.017870257,0.025883838,0.022748815,0.0,0.0,0.0,0.0
2021-09-12,-0.020106222,0.016766448,0.019563336,0.038573206,0.042520428,0.09037037,0.025378151,0.017436267,0.024307692,0.037071362,0.0,0.0,0.0,0.0
2021-09-13,-0.070073558,-0.050196272,-0.023695258,-0.057907348,-0.035215486,-0.08423913,-0.020269901,-0.031201986,-0.042655452,-0.049151028,0.00229,-0.00065,0.00915,-0.07542
2021-09-14,-0.001665279,0.04212633,0.04827668,0.019923696,0.045854386,0.143545994,0.020410439,0.03001098,0.039221839,0.031015038,-0.0055,-0.0044,0.00915,0.00465
2021-09-15,0.044620517,0.019392009,0.021630838,0.029509559,0.052144177,-0.004216672,0.034047437,0.020135023,0.029891304,0.021877849,0.0085,0.00824,0.00915,-0.06578
2021-09-16,-0.034331337,-0.020723246,-0.007974919,-0.022607994,-0.012712919,-0.028990228,-0.02029491,-0.023104609,-0.030196423,-0.02676182,-0.00152,0.00136,-0.00369,0.02805
2021-09-17,-0.028524184,-0.028246997,-0.009766464,-0.009500207,-0.047752195,-0.070446159,-0.029724335,-0.029118136,-0.034764208,-0.022914757,-0.00911,-0.00908,0.00124,0.11343
2021-09-18,0.009361702,0.015338806,0.021448696,0.006672227,0.010868478,0.024539877,0.008562215,0.00734484,0.009082368,0.009380863,0.0,0.0,0.0,0.0
2021-09-19,-0.037942664,-0.034446681,-0.021954999,-0.035211268,-0.031116842,-0.03522367,-0.031532525,-0.028436019,-0.027001862,-0.025092937,0.0,0.0,0.0,0.0
2021-09-20,-0.088518843,-0.111656542,-0.091558494,-0.105195363,-0.108848401,-0.143483023,-0.108094262,-0.154846779,-0.10430622,-0.12221163,0.0,-0.02193,0.0,0.0
2021-09-21,-0.045673077,-0.068140235,-0.051621345,-0.036948177,-0.069546369,-0.087809037,-0.053034654,-0.094272606,-0.053062678,-0.051042572,-0.00077,0.00228,0.0,-0.05251
2021-09-22,0.137531486,0.086787513,0.070414858,0.119083209,0.115455402,0.143925234,0.088286831,0.198529412,0.100789771,0.149004349,0.00952,0.0102,0.01013,-0.14327
2021-09-23,0.031886625,0.008722946,0.030239477,0.0,0.024599854,0.039215686,0.015234085,0.041581459,0.035189614,-0.001992032,0.01218,0.01044,0.00125,-0.10733
2021-09-24,-0.021030043,-0.070989218,-0.045562122,-0.067675868,-0.070930889,-0.08490566,-0.071123582,-0.081151832,-0.071617162,-0.056986028,0.00147,-0.0003,0.00125,-0.04724
2021-09-25,0.009206488,0.007964636,-0.002952268,-0.004297994,-0.001883406,0.053264605,-0.008011558,-0.013390313,-0.014219694,-0.003598264,0.0,0.0,0.0,0.0
2021-09-26,-0.040399652,-0.026293928,0.011232644,-0.015827338,0.047471405,0.004486134,-0.001985966,0.027721629,-0.003245582,0.003505045,0.0,0.0,0.0,0.0
2021-09-27,-0.034857402,-0.03047619,-0.023477731,-0.026315789,-0.044540028,-0.064961429,-0.037078801,-0.069682495,-0.040882779,-0.023179509,-0.00275,-0.00516,-0.005,0.0569
2021-09-28,-0.043621013,-0.028753274,-0.026802245,-0.015515516,-0.041086439,-0.040816327,-0.031686988,-0.063273935,-0.032063372,-0.031422689,-0.00275,-0.00516,0.0,0.0569
2021-09-29,0.013241785,0.022229714,0.011755425,0.00965938,0.015469609,0.034857402,0.03002063,0.040786716,0.051052221,0.038035574,0.00167,-0.0023,0.0,-0.02968
2021-09-30,0.024201355,0.036463701,0.055126178,0.028197382,0.052601487,0.049868766,0.058567581,0.067534077,0.033741194,0.027050329,-0.01184,-0.00438,0.00131,0.02571
2021-10-01,0.065689981,0.081160631,0.098906577,0.091576885,0.103238104,0.096666667,0.084556665,0.093731863,0.077833572,0.094438615,0.0115,0.00818,0.00391,-0.086
2021-10-02,-0.002217295,0.015396218,-0.010284162,-0.01884253,0.023817219,0.023176292,0.017265235,-0.00225524,0.05391015,-0.005752637,0.0,0.0,0.0,0.0
