,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,MANA,XLM,XRP,SPXT,XCMP,USSOC,VIX
ADA,0,0.5836674004419169,0.6010936102887041,0.44425045098230825,0.6900019662519822,0.5089082278420103,0.6783912940596638,0.4882650487031484,0.6858715369045818,0.6565149165448024,0.347123330101651,0.33917579852379975,0.6213655812003824,0.40130751853821767
BCH,0.5836674004419169,0,0.6257852645658661,0.43250932398587794,0.7145359776650103,0.4970190238970398,0.7026779640452393,0.440361139115324,0.5612354195279599,0.5968051719937438,0.3402459752401402,0.3320009385608812,0.6150435402142603,0.38187316992059345
BTC,0.6010936102887041,0.6257852645658661,0,0.4993292545840236,0.6961695479853337,0.460930255142709,0.7133714685087461,0.44391971855339857,0.5711059282274612,0.58732406595595,0.3433009134288097,0.341905013377656,0.6175733418064241,0.4087687530677754
DOGE,0.44425045098230825,0.43250932398587794,0.4993292545840236,0,0.4783017567061954,0.37121080554492814,0.5017823487667431,0.3491380666510427,0.47464222833900077,0.4533215512664154,0.34528807671221834,0.3329338216548656,0.6281165682816299,0.3673412440206051
ETH,0.6900019662519822,0.7145359776650103,0.6961695479853337,0.4783017567061954,0,0.5914324649733262,0.7749844776497041,0.4892942748390728,0.6574223874002383,0.6933239915908549,0.3427244258411926,0.3320507354222429,0.6145611337211376,0.3948489342311354
LINK,0.5089082278420103,0.4970190238970398,0.460930255142709,0.37121080554492814,0.5914324649733262,0,0.55573050074845,0.4197605432807788,0.5375436067370837,0.506683604759223,0.35048437861907067,0.3357277388119595,0.6226017673035141,0.3977592754638417
LTC,0.6783912940596638,0.7026779640452393,0.7133714685087461,0.5017823487667431,0.7749844776497041,0.55573050074845,0,0.48910518223894767,0.6651538621220223,0.6666531498448331,0.3445470981189101,0.3419235495659307,0.6216989898547425,0.4091509037297682
MANA,0.4882650487031484,0.440361139115324,0.44391971855339857,0.3491380666510427,0.4892942748390728,0.4197605432807788,0.48910518223894767,0,0.4825676075237663,0.4597562213578268,0.3536730603373263,0.3469589763240182,0.6290510192148104,0.43961309196616855
XLM,0.6858715369045818,0.5612354195279599,0.5711059282274612,0.47464222833900077,0.6574223874002383,0.5375436067370837,0.6651538621220223,0.4825676075237663,0,0.6955431665794496,0.34060670861483183,0.33724755947924195,0.6123828497578526,0.3794692333343424
XRP,0.6565149165448024,0.5968051719937438,0.58732406595595,0.4533215512664154,0.6933239915908549,0.506683604759223,0.6666531498448331,0.4597562213578268,0.6955431665794496,0,0.35077250452721953,0.34074037760799625,0.6283571822000836,0.39210372715419173
SPXT,0.347123330101651,0.3402459752401402,0.3433009134288097,0.34528807671221834,0.3427244258411926,0.35048437861907067,0.3445470981189101,0.3536730603373263,0.34060670861483183,0.35077250452721953,0,0.7686342404443313,0.8973982684902214,1.1586651323605663
XCMP,0.33917579852379975,0.3320009385608812,0.341905013377656,0.3329338216548656,0.3320507354222429,0.3357277388119595,0.3419235495659307,0.3469589763240182,0.33724755947924195,0.34074037760799625,0.7686342404443313,0,0.8957137484091606,1.106315336621208
USSOC,0.6213655812003824,0.6150435402142603,0.6175733418064241,0.6281165682816299,0.6145611337211376,0.6226017673035141,0.6216989898547425,0.6290510192148104,0.6123828497578526,0.6283571822000836,0.8973982684902214,0.8957137484091606,0,0.985869549062586
VIX,0.40130751853821767,0.38187316992059345,0.4087687530677754,0.3673412440206051,0.3948489342311354,0.3977592754638417,0.4091509037297682,0.43961309196616855,0.3794692333343424,0.39210372715419173,1.1586651323605663,1.106315336621208,0.985869549062586,0
